cluster_id	Amplitude
0	9.9
1	10.8
2	11.0
3	21.0
4	10.1
5	10.3
6	11.7
7	16.5
8	8.0
9	9.1
10	10.7
11	9.6
12	9.9
13	10.3
14	9.5
15	12.9
16	9.7
17	9.8
18	13.1
19	12.0
20	37.3
21	13.1
22	20.3
23	10.3
24	9.7
25	10.7
26	11.6
27	9.7
28	9.7
29	9.4
30	10.8
31	12.8
32	13.7
33	9.8
34	17.8
35	9.8
36	9.9
37	10.2
38	12.6
39	9.4
40	8.5
41	10.2
42	11.2
43	13.8
44	10.3
45	10.7
46	8.9
47	10.7
48	10.7
49	11.1
50	11.4
51	10.4
52	11.3
53	15.1
54	16.0
55	13.8
56	9.7
57	18.3
58	11.1
59	9.4
60	10.2
61	10.9
62	11.3
63	9.9
64	8.5
65	11.8
66	11.1
67	10.0
68	25.3
69	10.2
70	9.3
71	10.4
72	13.5
73	10.8
74	14.2
75	14.4
76	10.1
77	19.9
78	10.4
79	14.1
80	9.8
81	9.9
82	14.2
