cluster_id	KSLabel
0	good
1	mua
2	mua
3	mua
4	mua
5	mua
6	mua
7	good
8	good
9	good
10	mua
11	good
12	good
13	mua
14	mua
15	mua
16	good
17	mua
18	good
19	mua
20	mua
21	good
22	good
23	mua
24	good
25	mua
26	good
27	good
28	mua
29	good
30	good
31	good
32	good
33	good
34	good
35	mua
36	mua
37	good
38	good
39	mua
40	mua
41	mua
42	mua
43	mua
44	mua
45	mua
46	mua
47	good
48	good
49	good
50	mua
51	good
52	mua
53	good
54	mua
55	good
56	good
57	mua
58	mua
59	good
60	good
61	good
62	mua
63	mua
64	good
65	mua
66	good
67	mua
68	mua
69	mua
70	mua
71	mua
72	mua
73	mua
74	mua
75	good
76	good
77	mua
78	mua
79	mua
80	mua
81	mua
82	good
